,item1,item2,similarity
0,race,HBA,-0.009902875548399553
1,race,admission_type_id,-0.01157527629038764
2,race,age,-0.0010060812468080573
3,race,diag_1,0.0013751748692705176
4,race,diag_2,-0.0037218207590860894
5,race,diag_3,-0.0013249846910830792
6,race,insulin,-0.0010074389588305822
7,race,max_glu_serum,-0.006519237475041812
8,race,metformin,-0.002193526838669074
9,race,number_emergency,-0.010466093485741615
10,race,number_inpatient,-0.01024164570555737
11,race,time_in_hospital,-0.019781237290142063
0,age,HBA,-0.0998271212695197
1,age,admission_type_id,-0.05930111711516049
2,age,diag_1,-0.044355400318326375
3,age,diag_2,-0.043963605702266706
4,age,diag_3,-0.03372058778399308
5,age,insulin,-0.03976896812054404
6,age,max_glu_serum,-0.15652464108618588
7,age,metformin,-0.04268117499016823
8,age,number_emergency,-0.18547742589151553
9,age,number_inpatient,-0.16829511477636677
10,age,race,-0.002133034465691276
11,age,time_in_hospital,-0.04399263367183176
0,admission_type_id,HBA,0.09890087106954547
1,admission_type_id,age,-0.05044707929623914
2,admission_type_id,diag_1,-0.010703949547913875
3,admission_type_id,diag_2,-0.02577436631171319
4,admission_type_id,diag_3,-0.023607253014774798
5,admission_type_id,insulin,0.02648644905550288
6,admission_type_id,max_glu_serum,0.12189376609311306
7,admission_type_id,metformin,0.03539643773521452
8,admission_type_id,number_emergency,0.1438373926224503
9,admission_type_id,number_inpatient,0.13626252153308055
10,admission_type_id,race,-0.001609877412714662
11,admission_type_id,time_in_hospital,0.02861641395113006
0,max_glu_serum,HBA,0.4735407834501044
1,max_glu_serum,admission_type_id,-0.2252519170342019
2,max_glu_serum,age,-0.25618435968190234
3,max_glu_serum,diag_1,-0.22906868357499316
4,max_glu_serum,diag_2,-0.21906671277365408
5,max_glu_serum,diag_3,-0.20921310577687086
6,max_glu_serum,insulin,0.044209755445608165
7,max_glu_serum,metformin,0.07145592582745272
8,max_glu_serum,number_emergency,0.38626239030325993
9,max_glu_serum,number_inpatient,0.34328134945492234
10,max_glu_serum,race,-0.2531316095631947
11,max_glu_serum,time_in_hospital,-0.2616074594604404
0,HBA,admission_type_id,-0.40589974373424426
1,HBA,age,-0.4948105310490267
2,HBA,diag_1,-0.036475723348294145
3,HBA,diag_2,-0.029138133956754297
4,HBA,diag_3,-0.013760825733392058
5,HBA,insulin,0.05726561627779364
6,HBA,max_glu_serum,0.5017642156716556
7,HBA,metformin,0.056696446555283296
8,HBA,number_emergency,0.2809323894541655
9,HBA,number_inpatient,0.26357843746579396
10,HBA,race,-0.4871706385926009
11,HBA,time_in_hospital,-0.4910147832235931
0,metformin,HBA,0.0637553600656066
1,metformin,admission_type_id,-0.022456644839554958
2,metformin,age,-0.030627064491501214
3,metformin,diag_1,-0.04368359595043923
4,metformin,diag_2,-0.041573747733519864
5,metformin,diag_3,-0.04021615356811989
6,metformin,insulin,0.0047561604691581045
7,metformin,max_glu_serum,0.0695353275127603
8,metformin,number_emergency,0.060723337543144074
9,metformin,number_inpatient,0.05346844515803581
10,metformin,race,-0.030604105381730033
11,metformin,time_in_hospital,-0.028954868379468087
0,insulin,HBA,0.08431262164872758
1,insulin,admission_type_id,-0.08196442274739435
2,insulin,age,-0.09987756316040763
3,insulin,diag_1,0.01446954151182774
4,insulin,diag_2,0.015676472753115418
5,insulin,diag_3,0.017753076394108388
6,insulin,max_glu_serum,0.06919453272880127
7,insulin,metformin,0.009739326672544289
8,insulin,number_emergency,0.03659194509016643
9,insulin,number_inpatient,0.02679260816423231
10,insulin,race,-0.09587933818499289
11,insulin,time_in_hospital,-0.09710380821637604
0,diag_1,HBA,0.09066720122134575
1,diag_1,admission_type_id,-0.7295136497472032
2,diag_1,age,-0.756806939477551
3,diag_1,diag_2,0.8249925630287438
4,diag_1,diag_3,0.8099039088435449
5,diag_1,insulin,0.011641633698402647
6,diag_1,max_glu_serum,-0.06596144691318769
7,diag_1,metformin,-0.06075793340955276
8,diag_1,number_emergency,-0.3073443351582474
9,diag_1,number_inpatient,-0.3237226010224361
10,diag_1,race,-0.771413920859173
11,diag_1,time_in_hospital,-0.7894062558411549
0,diag_2,HBA,0.07420750032708928
1,diag_2,admission_type_id,-0.7472669182242034
2,diag_2,age,-0.7626102395707101
3,diag_2,diag_1,0.8250409471697818
4,diag_2,diag_3,0.8317196863326857
5,diag_2,insulin,0.008973094961488565
6,diag_2,max_glu_serum,-0.08178550252662536
7,diag_2,metformin,-0.06695035354017208
8,diag_2,number_emergency,-0.3291730253499566
9,diag_2,number_inpatient,-0.3455408739575902
10,diag_2,race,-0.7791055734554088
11,diag_2,time_in_hospital,-0.8002030908274917
0,diag_3,HBA,0.06604315811933029
1,diag_3,admission_type_id,-0.7504756036783935
2,diag_3,age,-0.7625131091841753
3,diag_3,diag_1,0.810182565293523
4,diag_3,diag_2,0.8318404772529877
5,diag_3,insulin,0.004845123251194745
6,diag_3,max_glu_serum,-0.0951252185108336
7,diag_3,metformin,-0.07198140809948207
8,diag_3,number_emergency,-0.3502942679866691
9,diag_3,number_inpatient,-0.3615694118901688
10,diag_3,race,-0.7947880042055662
11,diag_3,time_in_hospital,-0.8088593355066998
0,time_in_hospital,HBA,0.067053207850492
1,time_in_hospital,admission_type_id,0.0390933559295899
2,time_in_hospital,age,-0.04399263367183176
3,time_in_hospital,diag_1,0.016109392767709688
4,time_in_hospital,diag_2,0.009534973922285205
5,time_in_hospital,diag_3,0.008948346920754878
6,time_in_hospital,insulin,0.023289397380004254
7,time_in_hospital,max_glu_serum,0.09860602117389322
8,time_in_hospital,metformin,0.026642854428084985
9,time_in_hospital,number_emergency,0.1159163303578646
10,time_in_hospital,number_inpatient,0.10601624028512815
11,time_in_hospital,race,-0.0063443311129243295
0,number_inpatient,HBA,0.315477138036067
1,number_inpatient,admission_type_id,-0.009695005402611688
2,number_inpatient,age,-0.06927962188894224
3,number_inpatient,diag_1,-0.2893246397379371
4,number_inpatient,diag_2,-0.28456942723537276
5,number_inpatient,diag_3,-0.2845602389105961
6,number_inpatient,insulin,0.031026064467501172
7,number_inpatient,max_glu_serum,0.3802353376038107
8,number_inpatient,metformin,0.07065553687515037
9,number_inpatient,number_emergency,0.35619884330657253
10,number_inpatient,race,-0.04018943927659271
11,number_inpatient,time_in_hospital,-0.04286099905783399
0,number_emergency,HBA,0.2797842245707086
1,number_emergency,admission_type_id,0.021447478724748593
2,number_emergency,age,0.002650615943108203
3,number_emergency,diag_1,-0.3436227215207775
4,number_emergency,diag_2,-0.3410714260250132
5,number_emergency,diag_3,-0.3400126971388183
6,number_emergency,insulin,0.024293343793961714
7,number_emergency,max_glu_serum,0.3794809797913465
8,number_emergency,metformin,0.06828034708584334
9,number_emergency,number_inpatient,0.32037633896302975
10,number_emergency,race,-0.0012148136269456305
11,number_emergency,time_in_hospital,0.005133052244352285
